Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.19473E-3,43.61118505,0.54065793,0.027021617,0.307692308,0
1.20584E-3,43.852005656,0.542955695,0.026821457,0.307692308,0
1.20976E-3,44.093881905,0.543759272,0.026621297,0.307692308,0
1.21247E-3,44.336213891,0.544315405,0.026421137,0.307692308,0
1.21859E-3,44.579421583,0.545564514,0.026220977,0.307692308,0
1.22955E-3,44.824466404,0.547782512,0.026020817,0.333333333,0
1.24196E-3,45.07254015,0.550269168,0.025820657,0.333333333,0
1.25158E-3,45.322708255,0.552177503,0.025620496,0.333333333,0
1.25611E-3,45.573723203,0.553071186,0.025420336,0.333333333,0
1.25749E-3,45.825205862,0.553343316,0.025220176,0.333333333,0
1.2637E-3,46.077445754,0.554559698,0.025020016,0.333333333,0
1.27534E-3,46.332048164,0.556824471,0.024819856,0.333333333,0
1.27761E-3,46.587469096,0.557263113,0.024619696,0.333333333,0
1.27858E-3,46.84316202,0.557449516,0.024419536,0.333333333,0
1.27889E-3,47.09892784,0.557508744,0.024219376,0.333333333,0
1.28894E-3,47.355852279,0.559439168,0.024019215,0.333333333,0
1.29538E-3,47.614542621,0.56066715,0.023819055,0.333333333,0
1.31862E-3,47.878027586,0.565043556,0.023618895,0.333333333,0
1.31948E-3,48.00997573,0.565203249,0.023518815,0.333333333,0
1.32254E-3,48.27430871,0.565772182,0.023318655,0.333333333,0
1.34979E-3,48.542559753,0.570775499,0.023118495,0.333333333,0
1.35527E-3,48.813217729,0.571767667,0.022918335,0.333333333,0
1.35693E-3,49.084534125,0.572067536,0.022718175,0.333333333,0
1.36024E-3,49.356417427,0.572664338,0.022518014,0.358974359,0
1.3656E-3,49.629437507,0.573626131,0.022317854,0.358974359,0
1.36885E-3,49.766322064,0.574206754,0.022217774,0.358974359,0
1.38564E-3,50.042791977,0.577185558,0.022017614,0.384615385,0
1.38874E-3,50.320364298,0.577731209,0.021817454,0.384615385,0
1.3951E-3,50.59923307,0.578844486,0.021617294,0.384615385,0
1.39738E-3,50.878490893,0.579242927,0.021417134,0.384615385,0
1.40174E-3,51.01866538,0.580002998,0.021317054,0.384615385,0
1.40327E-3,51.299173822,0.580268549,0.021116894,0.384615385,0
1.40643E-3,51.580458393,0.580815811,0.020916733,0.384615385,0
1.41193E-3,51.862365626,0.581765344,0.020716573,0.41025641,0
1.42478E-3,52.004843426,0.583967978,0.020616493,0.41025641,0
1.43588E-3,52.291408615,0.585852786,0.020416333,0.41025641,0
1.43749E-3,52.578894227,0.586125094,0.020216173,0.41025641,0
1.45333E-3,52.86953649,0.588780486,0.020016013,0.435897436,0
1.45445E-3,53.014981741,0.588967195,0.019915933,0.435897436,0
1.45576E-3,53.306125836,0.589184983,0.019715773,0.435897436,0
1.45597E-3,53.597308572,0.589219556,0.019515612,0.435897436,0
1.46385E-3,53.889832919,0.590526126,0.019315452,0.435897436,0
1.46406E-3,54.036239019,0.59056027,0.019215372,0.435897436,0
1.46906E-3,54.329651969,0.591384051,0.019015212,0.435897436,0
1.47319E-3,54.62402123,0.592061789,0.018815052,0.435897436,0
1.47391E-3,54.771412089,0.592180227,0.018714972,0.435897436,0
1.48112E-3,55.067553585,0.593357812,0.018514812,0.461538462,0
1.49724E-3,55.365598786,0.595967625,0.018314652,0.461538462,0
1.49812E-3,55.515411117,0.596109627,0.018214572,0.461538462,0
1.50243E-3,55.815513233,0.596800427,0.018014412,0.461538462,0
1.50522E-3,56.116508955,0.597246619,0.017814251,0.461538462,0
1.50528E-3,56.267036534,0.597255839,0.017714171,0.461538462,0
1.5099E-3,56.568869543,0.597994209,0.017514011,0.461538462,0
1.51789E-3,56.872286773,0.599260761,0.017313851,0.461538462,0
1.51813E-3,57.024099818,0.599299574,0.017213771,0.461538462,0
1.5237E-3,57.328506789,0.600177992,0.017013611,0.461538462,0
1.53837E-3,57.635743584,0.602475582,0.016813451,0.461538462,0
1.54273E-3,57.790016734,0.603153567,0.016713371,0.461538462,0
1.5494E-3,58.099683853,0.604185745,0.016513211,0.461538462,0
1.55226E-3,58.254909519,0.604625941,0.016413131,0.461538462,0
1.56946E-3,58.568310781,0.607257026,0.01621297,0.461538462,0
1.57203E-3,58.88249296,0.607647301,0.01601281,0.461538462,0
1.57671E-3,59.040163748,0.608355997,0.01591273,0.461538462,0
1.59855E-3,59.357722971,0.61162848,0.01571257,0.461538462,0
1.59974E-3,59.517696686,0.611805339,0.01561249,0.461538462,0
1.60402E-3,59.838131068,0.612440399,0.01541233,0.461538462,0
1.60969E-3,60.159971505,0.613277335,0.01521217,0.461538462,0
1.61722E-3,60.321693541,0.614383684,0.01511209,0.461538462,0
1.62527E-3,60.646553929,0.615558916,0.01491193,0.461538462,0
1.63239E-3,60.809792764,0.616593004,0.014811849,0.461538462,0
1.64118E-3,61.137824677,0.617861382,0.014611689,0.461538462,0
1.64187E-3,61.302012056,0.617961801,0.014511609,0.461538462,0
1.65164E-3,61.631670879,0.619360647,0.014311449,0.461538462,0
1.65239E-3,61.796910055,0.619468218,0.014211369,0.461538462,0
1.65382E-3,62.127661074,0.619671705,0.014011209,0.461538462,0
1.66486E-3,62.294146588,0.621237952,0.013911129,0.461538462,0
1.67347E-3,62.628101173,0.622451705,0.013710969,0.461538462,0
1.6794E-3,62.79604092,0.623282193,0.013610889,0.461538462,0
1.68283E-3,63.132444609,0.623761307,0.013410729,0.461538462,0
1.6837E-3,63.300814431,0.623882533,0.013310649,0.461538462,0
1.6866E-3,63.638108941,0.624287188,0.013110488,0.461538462,0
1.68856E-3,63.806965051,0.624559043,0.013010408,0.461538462,0
1.69839E-3,64.145734403,0.625919575,0.012810248,0.461538462,0
1.70157E-3,64.315891717,0.626357328,0.012710168,0.461538462,0
1.70855E-3,64.657095025,0.627314778,0.012510008,0.461538462,0
1.7159E-3,64.828685241,0.628317797,0.012409928,0.461538462,0
1.71966E-3,65.000650963,0.628828159,0.012309848,0.461538462,0
1.72602E-3,65.345418794,0.629689821,0.012109688,0.461538462,0
1.72819E-3,65.518238215,0.62998325,0.012009608,0.487179487,0
1.75923E-3,65.868728151,0.634122492,0.011809448,0.487179487,0
1.7613E-3,66.044858422,0.634395774,0.011709367,0.487179487,0
1.77056E-3,66.398803306,0.635611066,0.011509207,0.487179487,0
1.77865E-3,66.57666865,0.636666421,0.011409127,0.487179487,0
1.77989E-3,66.754657465,0.63682693,0.011309047,0.487179487,0
1.79468E-3,67.112279311,0.638739466,0.011108887,0.487179487,0
1.80102E-3,67.292380832,0.639551581,0.011008807,0.487179487,0
1.80995E-3,67.654364326,0.640691192,0.010808647,0.487179487,0
1.81749E-3,67.836113768,0.641648607,0.010708567,0.487179487,0
1.82048E-3,68.018161817,0.642025985,0.010608487,0.487179487,0
1.84029E-3,68.384763164,0.644509229,0.010408327,0.487179487,0
1.85465E-3,68.570227994,0.646288179,0.010308247,0.487179487,0
1.85614E-3,68.755842347,0.646472382,0.010208167,0.487179487,0
1.86138E-3,69.128000198,0.647115585,0.010008006,0.487179487,0
1.86844E-3,69.314843803,0.6479795,0.009907926,0.487179487,0
1.8761E-3,69.502454256,0.648913199,0.009807846,0.487179487,0
1.92684E-3,69.886455578,0.654967762,0.009607686,0.487179487,0
1.93636E-3,70.08009134,0.656080663,0.009507606,0.487179487,0
1.95911E-3,70.27600223,0.65871153,0.009407526,0.487179487,0
1.98921E-3,70.673046736,0.662131185,0.009207366,0.512820513,0
1.99001E-3,70.872047752,0.662221033,0.009107286,0.512820513,0
2.00124E-3,71.072171622,0.663478463,0.009007206,0.512820513,0
2.00456E-3,71.272627512,0.663848484,0.008907126,0.512820513,0
2.00979E-3,71.674440559,0.664429785,0.008706966,0.512820513,0
2.02175E-3,71.876615516,0.66575137,0.008606886,0.512820513,0
2.03729E-3,72.080344475,0.667453093,0.008506805,0.512820513,0
2.05963E-3,72.286307435,0.669869318,0.008406725,0.512820513,0
2.09452E-3,72.704900027,0.673573214,0.008206565,0.512820513,0
2.10727E-3,72.915626852,0.674906284,0.008106485,0.512820513,0
2.13711E-3,73.129337577,0.677983696,0.008006405,0.512820513,0
2.14321E-3,73.343658854,0.678606217,0.007906325,0.512820513,0
2.16826E-3,73.560485176,0.681135365,0.007806245,0.512820513,0
2.19069E-3,73.779554598,0.683366506,0.007706165,0.512820513,0
2.2162E-3,74.220904164,0.685866229,0.007506005,0.512820513,0
2.24296E-3,74.445200532,0.688446377,0.007405925,0.512820513,0
2.24321E-3,74.669521321,0.688469729,0.007305845,0.512820513,0
2.25711E-3,74.8952321,0.68979309,0.007205765,0.512820513,0
2.2938E-3,75.12461222,0.693233127,0.007105685,0.512820513,0
2.31989E-3,75.356600781,0.695632528,0.007005604,0.512820513,0
2.32083E-3,75.588683357,0.695718308,0.006905524,0.512820513,0
2.33486E-3,75.822169042,0.696992794,0.006805444,0.512820513,0
2.36121E-3,76.058290474,0.699358284,0.006705364,0.538461538,0
2.37309E-3,76.295599494,0.700412074,0.006605284,0.564102564,0
2.38003E-3,76.533602088,0.701024098,0.006505204,0.564102564,0
2.39236E-3,76.772838482,0.702106671,0.006405124,0.564102564,0
2.42956E-3,77.01579481,0.705323709,0.006305044,0.58974359,0
2.42965E-3,77.258760262,0.705331515,0.006204964,0.58974359,0
2.43969E-3,77.502729307,0.70618752,0.006104884,0.615384615,0
