"","filename","species","current","cc","cn","gf","he","mp"
"138","Leucadendron salignum_total_curr_2070.csv","Leucadendron salignum",252000,252000,252000,252000,252000,252000
"139","Leucadendron sericeum_total_curr_2010.csv","Leucadendron sericeum",252000,252000,252000,252000,252000,252000
"140","Leucadendron sericeum_total_curr_2040.csv","Leucadendron sericeum",252000,252000,252000,252000,252000,252000
"141","Leucadendron sericeum_total_curr_2070.csv","Leucadendron sericeum",252000,252000,252000,252000,252000,252000
"142","Leucadendron sessile_total_curr_2010.csv","Leucadendron sessile",252000,252000,252000,252000,252000,252000
"143","Leucadendron sessile_total_curr_2040.csv","Leucadendron sessile",252000,252000,252000,252000,252000,252000
"144","Leucadendron sessile_total_curr_2070.csv","Leucadendron sessile",252000,252000,252000,252000,252000,252000
"145","Leucadendron spissifolium_total_curr_2010.csv","Leucadendron spissifolium",252000,252000,252000,252000,252000,252000
"146","Leucadendron spissifolium_total_curr_2040.csv","Leucadendron spissifolium",252000,252000,252000,252000,252000,252000
"147","Leucadendron spissifolium_total_curr_2070.csv","Leucadendron spissifolium",252000,252000,252000,252000,252000,252000
"148","Leucadendron stellare_total_curr_2010.csv","Leucadendron stellare",252000,252000,252000,252000,252000,252000
"149","Leucadendron stellare_total_curr_2040.csv","Leucadendron stellare",252000,252000,252000,252000,252000,252000
"150","Leucadendron stellare_total_curr_2070.csv","Leucadendron stellare",252000,252000,252000,252000,252000,252000
"151","Leucadendron strobilinum_total_curr_2010.csv","Leucadendron strobilinum",252000,252000,252000,252000,252000,252000
"152","Leucadendron strobilinum_total_curr_2040.csv","Leucadendron strobilinum",252000,252000,252000,252000,252000,252000
"153","Leucadendron strobilinum_total_curr_2070.csv","Leucadendron strobilinum",252000,252000,252000,252000,252000,252000
"154","Leucadendron teretifolium_total_curr_2010.csv","Leucadendron teretifolium",252000,252000,252000,252000,252000,252000
"155","Leucadendron teretifolium_total_curr_2040.csv","Leucadendron teretifolium",252000,252000,252000,252000,252000,252000
"156","Leucadendron teretifolium_total_curr_2070.csv","Leucadendron teretifolium",252000,252000,252000,252000,252000,252000
"157","Leucadendron thymifolium_total_curr_2010.csv","Leucadendron thymifolium",252000,252000,252000,252000,252000,252000
"158","Leucadendron thymifolium_total_curr_2040.csv","Leucadendron thymifolium",252000,252000,252000,252000,252000,252000
"159","Leucadendron thymifolium_total_curr_2070.csv","Leucadendron thymifolium",252000,252000,252000,252000,252000,252000
"160","Leucadendron tinctum_total_curr_2010.csv","Leucadendron tinctum",252000,252000,252000,252000,252000,252000
