"","filename","species","current","cc","cn","gf","he","mp"
"457","Serruria elongata_presence_curr_2010.csv","Serruria elongata",6950,6032,5759,5488,5580,5643
"458","Serruria elongata_presence_curr_2040.csv","Serruria elongata",6950,3264,2665,2090,2294,2468
"459","Serruria elongata_presence_curr_2070.csv","Serruria elongata",6950,2019,1214,715,988,1000
"460","Serruria fasciflora_presence_curr_2010.csv","Serruria fasciflora",25882,23001,22605,21198,20686,21752
"461","Serruria fasciflora_presence_curr_2040.csv","Serruria fasciflora",25882,14385,12816,10619,9389,10907
"462","Serruria fasciflora_presence_curr_2070.csv","Serruria fasciflora",25882,7702,6278,4736,3955,4711
"463","Serruria flagellifolia_presence_curr_2010.csv","Serruria flagellifolia",3472,3538,3430,3240,3378,3487
"464","Serruria flagellifolia_presence_curr_2040.csv","Serruria flagellifolia",3472,3714,3221,2698,3062,3382
"465","Serruria flagellifolia_presence_curr_2070.csv","Serruria flagellifolia",3472,3688,2845,1748,2498,2636
"466","Serruria flava_presence_curr_2010.csv","Serruria flava",4478,3582,3505,4037,3228,3435
"467","Serruria flava_presence_curr_2040.csv","Serruria flava",4478,1185,748,2571,256,403
"468","Serruria flava_presence_curr_2070.csv","Serruria flava",4478,823,399,1339,421,1
"469","Serruria florida_presence_curr_2010.csv","Serruria florida",4898,4580,4600,4194,4335,4287
"470","Serruria florida_presence_curr_2040.csv","Serruria florida",4898,3571,3662,2235,2763,2493
"471","Serruria florida_presence_curr_2070.csv","Serruria florida",4898,2525,2707,749,1395,983
"472","Serruria fucifolia_presence_curr_2010.csv","Serruria fucifolia",15310,15870,14812,16976,15965,15427
"473","Serruria fucifolia_presence_curr_2040.csv","Serruria fucifolia",15310,17107,13871,20891,17588,15572
"474","Serruria fucifolia_presence_curr_2070.csv","Serruria fucifolia",15310,53654,24162,93502,53670,35216
"475","Serruria furcellata_presence_curr_2010.csv","Serruria furcellata",7886,7820,8129,7813,8180,7286
"476","Serruria furcellata_presence_curr_2040.csv","Serruria furcellata",7886,7681,8872,8680,9283,5501
"477","Serruria furcellata_presence_curr_2070.csv","Serruria furcellata",7886,7735,9108,9297,9984,3292
"478","Serruria glomerata_presence_curr_2010.csv","Serruria glomerata",9167,9577,9665,9098,9709,9138
"479","Serruria glomerata_presence_curr_2040.csv","Serruria glomerata",9167,10755,10983,8385,10879,8691
"480","Serruria glomerata_presence_curr_2070.csv","Serruria glomerata",9167,12398,12583,7472,12613,8558
"481","Serruria heterophylla_presence_curr_2010.csv","Serruria heterophylla",5804,5881,5712,5510,5683,5946
"482","Serruria heterophylla_presence_curr_2040.csv","Serruria heterophylla",5804,6915,6278,5750,6001,7544
"483","Serruria heterophylla_presence_curr_2070.csv","Serruria heterophylla",5804,12412,9578,6876,9345,13693
"484","Serruria hirsuta_presence_curr_2010.csv","Serruria hirsuta",4168,4054,4096,3840,4225,3816
"485","Serruria hirsuta_presence_curr_2040.csv","Serruria hirsuta",4168,3763,3919,3006,4411,2980
"486","Serruria hirsuta_presence_curr_2070.csv","Serruria hirsuta",4168,3568,3826,2403,4630,2326
"487","Serruria inconspicua_presence_curr_2010.csv","Serruria inconspicua",11455,11022,11163,9862,10814,11197
"488","Serruria inconspicua_presence_curr_2040.csv","Serruria inconspicua",11455,10215,10251,7564,9173,10123
"489","Serruria inconspicua_presence_curr_2070.csv","Serruria inconspicua",11455,9816,9380,5498,7407,9129
"490","Serruria incrassata_presence_curr_2010.csv","Serruria incrassata",13935,16693,17291,17596,18000,15698
"491","Serruria incrassata_presence_curr_2040.csv","Serruria incrassata",13935,22902,22786,23577,24488,19733
"492","Serruria incrassata_presence_curr_2070.csv","Serruria incrassata",13935,30609,30410,30906,33365,25571
